control_engraftment,control_weight,control_volume,tazko_engraftment,tazko_weight,tazko_volume
engraft,0.2225,1356.48,engraft,0.0239,200.96
engraft,0.1016,502.4,engraft,0.0476,439.6
engraft,0.2888,2411.52,engraft,0.0122,109.9
engraft,0.0778,439.6,engraft,0.0754,376.8
engraft,0.0802,602.88,not_engraft,,
engraft,0.818,401.92,not_engraft,,
engraft,0.68,133.9733333,not_engraft,,
engraft,0.0209,263.76,not_engraft,,
engraft,0.1323,1172.266667,not_engraft,,
engraft,0.1293,753.6,not_engraft,,
engraft,0.3656,2461.76,not_engraft,,
engraft,0.0791,598.6933333,not_engraft,,
engraft,0.0782,628,not_engraft,,
engraft,0.0726,535.8933333,not_engraft,,
engraft,0.2804,1130.4,not_engraft,,
engraft,0.0555,234.4533333,not_engraft,,
engraft,0.0371,150.72,not_engraft,,
engraft,0.0179,83.73333333,not_engraft,,
not_engraft,,,,,
