PeakID (cmd=annotatePeaks.pl ./top_concordant_peaks_full-set.narrowPeak hg19 -noann)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Merged-chr19-39184227-2	chr19	39184140	39184315	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	45938	NM_001322033	81		NM_004924	ENSG00000130402	ACTN4	ACTININ-4|FSGS|FSGS1	actinin alpha 4	protein-coding
Merged-chr10-91038033-2	chr10	91037981	91038085	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-23770	NM_001547	3433		NM_001547	ENSG00000119922	IFIT2	G10P2|GARG-39|IFI-54|IFI-54K|IFI54|IFIT-2|ISG-54|ISG-54 K|ISG-54K|ISG54|P54|cig42	interferon induced protein with tetratricopeptide repeats 2	protein-coding
Merged-chr2-65886199-2	chr2	65886111	65886288	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-226466	NM_181784	200734		NM_181784	ENSG00000198369	SPRED2	NS14|Spred-2	sprouty related EVH1 domain containing 2	protein-coding
Merged-chr19-48991373-2	chr19	48991289	48991457	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	18747	NM_004228	9266		NM_004228	ENSG00000105443	CYTH2	ARNO|CTS18|CTS18.1|PSCD2|PSCD2L|SEC7L|Sec7p-L|Sec7p-like|cytohesin-2	cytohesin 2	protein-coding
Merged-chr6-50055081-2	chr6	50055014	50055148	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-37439	NM_001369057	245915		NM_001037498	ENSG00000180872	DEFB112	DEFB-12	defensin beta 112	protein-coding
Merged-chr2-131094826-2	chr2	131094772	131094880	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	4911	NR_135548	84317		NM_032357	ENSG00000136710	CCDC115	CDG2O|ccp1	coiled-coil domain containing 115	protein-coding
Merged-chr8-110750104-2	chr8	110750045	110750163	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-46084	NM_001099744	55638		NM_017786	ENSG00000147642	SYBU	GOLSYN|OCSYN|SNPHL	syntabulin	protein-coding
Merged-chr3-100215847-2	chr3	100215775	100215919	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	4384	NM_001363876	55076		NM_018004	ENSG00000181458	TMEM45A	DERP7|DNAPTP4	transmembrane protein 45A	protein-coding
Merged-chr22-36764928-2	chr22	36764863	36764994	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	19084	NM_002473	4627		NM_002473	ENSG00000100345	MYH9	BDPLT6|DFNA17|EPSTS|FTNS|MATINS|MHA|NMHC-II-A|NMMHC-IIA|NMMHCA	myosin heavy chain 9	protein-coding
Merged-chr1-166895272-2	chr1	166895188	166895357	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	49505	NM_199351	387597		NM_199351	ENSG00000143195	ILDR2	C1orf32|dJ782G3.1	immunoglobulin like domain containing receptor 2	protein-coding
Merged-chr13-91097651-2	chr13	91097581	91097722	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-47891	NR_120414	101927224		NR_120414		LINC01049	-	long intergenic non-protein coding RNA 1049	ncRNA
Merged-chr1-205270637-2	chr1	205270586	205270688	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	20236	NM_030952	81788		NM_030952	ENSG00000163545	NUAK2	ANPH2|SNARK	NUAK family kinase 2	protein-coding
Merged-chr16-88365878-2	chr16	88365820	88365937	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-83489	NM_001367624	84627		NM_001127464	ENSG00000225614	ZNF469	BCS|BCS1|Zfp469	zinc finger protein 469	protein-coding
Merged-chr5-169578299-2	chr5	169578219	169578379	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	45398	NM_012188	2299		NM_012188	ENSG00000168269	FOXI1	FKH10|FKHL10|FREAC-6|FREAC6|HFH-3|HFH3	forkhead box I1	protein-coding
Merged-chr4-86417554-2	chr4	86417500	86417608	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	21251	NM_001025616	83478		NM_031305	ENSG00000138639	ARHGAP24	FILGAP|RC-GAP72|RCGAP72|p73|p73RhoGAP	Rho GTPase activating protein 24	protein-coding
Merged-chr11-119186424-2	chr11	119186360	119186488	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	1416	NM_006500	4162		NM_006500	ENSG00000076706	MCAM	CD146|HEMCAM|METCAM|MUC18|MelCAM	melanoma cell adhesion molecule	protein-coding
Merged-chr2-39722142-2	chr2	39722068	39722216	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	57585	NR_037875	728730		NR_037875	ENSG00000231312	MAP4K3-DT	-	MAP4K3 divergent transcript	ncRNA
Merged-chr1-160796523-2	chr1	160796467	160796580	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	30559	NM_001261457	4063		NM_002348	ENSG00000122224	LY9	CD229|SLAMF3|hly9|mLY9	lymphocyte antigen 9	protein-coding
Merged-chr5-135389537-2	chr5	135389476	135389598	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	24860	NM_000358	7045		NM_000358	ENSG00000120708	TGFBI	BIGH3|CDB1|CDG2|CDGG1|CSD|CSD1|CSD2|CSD3|EBMD|LCD1	transforming growth factor beta induced	protein-coding
Merged-chr1-223403853-2	chr1	223403782	223403924	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-87263	NM_003268	7100		NM_003268	ENSG00000187554	TLR5	MELIOS|SLE1|SLEB1|TIL3	toll like receptor 5	protein-coding
Merged-chr3-139021308-2	chr3	139021251	139021366	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-41528	NM_001363893	56945		NM_020191	ENSG00000175110	MRPS22	C3orf5|COXPD5|GIBT|GK002|MRP-S22|ODG7|RPMS22|mS22	mitochondrial ribosomal protein S22	protein-coding
Merged-chr6-43819065-2	chr6	43819004	43819126	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	1005	NR_149142	285857		NR_149142	ENSG00000283215	LINC02537	-	long intergenic non-protein coding RNA 2537	ncRNA
Merged-chr12-13023540-2	chr12	13023460	13023621	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	-4871	NR_003932	387841		NR_003932	ENSG00000234498	RPL13AP20	HANR|RPL13A_9_1211	ribosomal protein L13a pseudogene 20	pseudo
Merged-chr5-130950949-2	chr5	130950881	130951017	+	0.0	/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_1_peaks.narrowPeak|/home/jovyan/shared/course/mcb201b-shared/chip/alignment_assist/taz_2_peaks.narrowPeak	NA	NA	19973	NM_001164389	51735		NM_016340	ENSG00000158987	RAPGEF6	KIA001LB|PDZ-GEF2|PDZGEF2|RA-GEF-2|RAGEF2	Rap guanine nucleotide exchange factor 6	protein-coding
